t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
115,121,0.68179408842324,0.10278432616283087,0.4953926283843403,0.5219849203986882,0.6099438889839682,0.6766359958978376,0.748024347040267,0.8592000311642052,0.8975000681897779
116,122,0.7141615125586845,0.10890860965176989,0.5168422277499056,0.5449490646588256,0.638002988491471,0.7086330711807473,0.7842966626069149,0.9022342277008637,0.9428891554959109
117,123,0.7571702457740461,0.11546737997892893,0.5479678612331329,0.5777673676977286,0.6764252498988697,0.7513088667396555,0.8315291237947298,0.9565692072742212,0.9996724845149875
118,124,0.5531205285357607,0.10098553016607202,0.37318809789180285,0.3981357734408548,0.4820797244661636,0.5469870328553139,0.6174803528323967,0.7290307822125762,0.7678942325643664
119,125,0.6728476027685186,0.118943775655683,0.4602272622031857,0.4898635981522249,0.5892674120318494,0.6658519013574937,0.7488072645003817,0.8796984156526646,0.9252080430256298
120,126,0.817755579802099,0.13629259663368318,0.5727459546361682,0.6072100151385162,0.722174910685513,0.8101963594625694,0.9051011831195338,1.0540900132995585,1.1057083850404794
121,127,0.8793302399532137,0.14264620116846474,0.6222664128701839,0.6585699490133402,0.7793826376367943,0.871628961351391,0.9708877230890756,1.1263638439878056,1.1801450919186374
122,128,0.9543374542959817,0.14904247034859913,0.6848490339193715,0.7231118544932559,0.8500356408814769,0.9465899274937174,1.050198374282551,1.2119938821496978,1.2678407288428077
123,129,1.1282261288924138,0.1611751612703448,0.8346679011276132,0.8768365435271792,1.0157426088652883,1.120560472435948,1.2323571574089407,1.4057667012924364,1.4653363242951734
124,130,1.0162700908709912,0.14823822816446167,0.7467170373307973,0.7853364192405183,0.9127504354496904,1.0090716598765912,1.1119465059299458,1.2717609446354925,1.3267201422357229
125,131,1.1953499352295278,0.1597353541046898,0.9029544949589208,0.9452910780745906,1.084087683722212,1.1882423354948444,1.2988672816461044,1.4696556777686731,1.5281280992025186
126,132,1.1557933270841998,0.1517630989024968,0.8776423304930719,0.9179964516805182,1.050136406132096,1.1491576661897902,1.2542194921568488,1.4162270422166625,1.47164596489602
127,133,1.0611020849202304,0.14179573050582178,0.8015451115618519,0.8391269403539452,0.9623355199438728,1.0547927284088228,1.1529935627801824,1.3046009857320575,1.3565064625009788
128,134,1.0866920483128144,0.14268965648098095,0.825170832414807,0.8631123065377624,0.9873520251812373,1.0804531128904697,1.1792336199103985,1.3315552437605545,1.3836608418726755
129,135,1.0096323535711038,0.13613879878321553,0.7605932609622771,0.7966148669541758,0.9147817255906006,1.003520006286274,1.0978226201484615,1.2435015536731047,1.2933993730958004
