t_start,t_end,Mean(R),Std(R),Quantile.0.025(R),Quantile.0.05(R),Quantile.0.25(R),Median(R),Quantile.0.75(R),Quantile.0.95(R),Quantile.0.975(R)
79,85,0.9315859010269205,0.9315859010269205,0.023585712963071246,0.04778410986866535,0.2680005626742842,0.6457261407462062,1.2914522814924123,2.7907819492942187,3.4365080900404252
80,86,1.361248254815935,1.361248254815935,0.03446382193437954,0.06982290746881316,0.3916067190668182,0.9435453898678113,1.8870907797356227,4.077935329271143,5.021480719138954
81,87,1.8234376037544209,1.8234376037544209,0.04616544312318808,0.09353012180670524,0.5245703088345811,1.2639106339693595,2.527821267938719,5.462530878379071,6.726441512348431
82,88,2.1755058957056685,2.1755058957056685,0.055079040536166676,0.11158886435028267,0.6258540447076748,1.5079457778999226,3.015891555799845,6.517233223072452,8.025179000972376
83,89,2.4881724741057667,2.4881724741057667,0.06299507293120528,0.12762656320130705,0.7158026139682222,1.7246697351732756,3.449339470346551,7.453898582847325,9.1785683180206
84,90,2.77226065388082,2.77226065388082,0.07018756291735649,0.14219838183853223,0.7975296902849637,1.9215846560147607,3.8431693120295214,8.30495071153466,10.22653536754942
85,91,3.031165043132331,3.031165043132331,0.0767424545307161,0.15547844089463897,0.8720118415517011,2.1010435034590405,4.202087006918081,9.080558946180197,11.181602449639238
86,92,3.266331461410386,3.266331461410386,0.0826963527530331,0.16754090121744108,0.9396650041329943,2.264048443250855,4.52809688650171,9.785054575071863,12.049103018322716
87,93,3.4787404138864457,3.4787404138864457,0.08807408182596613,0.17843605614734687,1.000771251788619,2.411279109785327,4.822558219570654,10.42137492919619,12.832654038981518
88,94,3.6693962181093664,3.6693962181093664,0.09290106886837239,0.18821542044004833,1.0556195086724298,2.5434316429398334,5.086863285879667,10.992528675047184,13.53596031798702
89,95,3.8394721881892506,3.8394721881892506,0.09720701962159674,0.19693917724160406,1.104547316219258,2.661319322081703,5.322638644163406,11.502030747571498,14.1633500696532
90,96,3.9903190198392404,3.9903190198392404,0.10102613074034968,0.20467660818485628,1.147943245371112,2.7658783781362937,5.531756756272587,11.953927469508736,14.71980584764503
91,97,4.123419549117472,4.123419549117472,0.10439594438322329,0.21150377281626337,1.1862338814783024,2.8581366347365362,5.7162732694730725,12.35266102069465,15.210797655431188
92,98,4.240327854520836,4.240327854520836,0.10735580641119438,0.21750038494166782,1.219866305063568,2.9391712970109194,5.878342594021839,12.702887004238018,15.642058301248936
93,99,4.342610585895456,4.342610585895456,0.10994538096424572,0.22274680319282894,1.2492912132014475,3.0100682838832076,6.020136567766415,13.009298683644221,16.01936696752743
